time x1 x2 x3
0 9.43952435344779 9.4976765468907 9.50944255629933
0.25 5.36022372898502 9.10144061905783 11.7253902092513
0.5 5.61783284612099 7.96583486359426 16.0227184045302
0.75 3.3631184893435 7.55519996866885 15.9201770583814
1 2.96987231648468 8.6496915285236 19.3556921559677
1.25 4.26386890165114 8.57782790374252 21.8447291617263
1.5 2.81093639867994 8.02061509999112 23.4827420886117
1.75 0.945058277179736 8.77434933165007 27.012133170099
2 1.42299020598479 9.82618941336878 31.0614545651237
2.25 1.59174229263805 7.24252045323562 32.4405426911063
2.5 3.20919237813238 5.40973873877616 34.1999175712677
2.75 2.30749385762292 8.73292006624782 35.6786195939866
3 2.32210969960265 7.04467148376265 35.7539669225916
3.25 2.0139885788248 7.10695206441919 40.4122292910002
3.5 1.33565146928645 8.87247982696253 39.0750387325418
3.75 3.67121995003037 7.62187813478342 42.3311769702106
4 2.37837762829253 6.75086417224522 44.3794050671232
4.25 0 8.22082840257816 41.7525353455788
4.5 2.58100766031509 7.96980988871155 44.4940552899637
4.75 1.40849633791282 8.18345148266605 44.0164822640753
5 0.815885255248458 8.63065299853228 43.102035381412
5.25 1.66863090992251 7.94025704732888 43.4801463694427
5.5 0.863746072753569 9.01808567775627 43.6526826248386
5.75 1.16408733371143 8.21284087828779 44.9329047593154
6 1.27113487825139 8.82128820280498 44.1712887314793
6.25 0.212565186932291 9.63894363075995 46.4575930113172
6.5 2.73996774919509 9.02626155048599 47.9801402012574
6.75 2.0582836381946 8.3105342753105 44.6822073956406
7 0.769295837211275 9.82715985222495 46.8291772156082
7.25 3.16355799141445 9.71037457131923 46.8690106925779
7.5 2.33830872625412 9.3005784337189 46.4797110066857
7.75 1.6186737082894 9.02319487224379 45.1778320552469
8 2.81058207988474 8.18599867942087 46.0983400490863
8.25 2.79512478682868 10.2013520161674 45.9632457107844
8.5 2.73994487424495 8.26478066419664 46.8278492163487
8.75 2.60822827439194 11.0744483871188 45.9098958742674
9 2.47459543955402 10.4397175394274 47.2737499801074
9.25 1.85973458756522 8.68948808871466 45.934173361937
9.5 1.61654327436004 7.91510312461635 47.3714366729337
9.75 1.54279717382495 8.24586092805804 45.2778807852557
10 1.22923655285378 9.22644597932933 45.0738931465623
10.25 1.71662430157232 8.73484945133812 49.5809761991998
10.5 0.659674615452212 8.64478480033551 45.9280573192146
10.75 4.09449543457032 8.05041475678107 46.6473687516784
11 3.13391604417978 8.96573478990994 46.9893121618638
11.25 0.803212322015403 8.2337050016392 45.8720421433055
11.5 1.5237607344962 7.35771839901275 46.8753289578098
11.75 1.46027758737817 8.65176694448849 46.7297090764155
12 2.70715247942847 9.95667660928255 46.1473324572884
12.25 1.84404360498819 8.46743746518783 46.4297124994621
12.5 2.18093078062548 9.65532943922839 46.3318360030197
12.75 1.89924238838591 7.43359212679846 48.4956488519301
13 1.88507549013738 8.99959926683895 45.6269916977695
13.25 3.29668729441537 9.57787450080019 45.2733223529667
13.5 1.70243740402523 9.36258513966057 46.4079770571672
13.75 3.44478850349579 9.1697657700801 46.6814349074385
14 0.379662333671132 8.42576609942852 46.808152387023
14.25 2.51311526629175 8.21890328801517 45.9138593199112
14.5 2.05243252333679 8.04639277459644 45.3094252986323
14.75 2.14458809294823 9.18988333492977 47.6364030402747
15 2.3083467025406 8.12629905307477 46.0239809786318
