5.000000000000000278e-02,5.000000000000000278e-02,5.000000000000000278e-02,5.000000000000000278e-02
1.020695194075303680e-01,8.383374219360294199e-02,1.442937489178519883e-01,1.391050621215693950e-01
1.546259499589306419e-01,1.138222384495734540e-01,2.602237889782900715e-01,2.819435007267845350e-01
1.847897135417000680e-01,1.247018341023378996e-01,3.144324219497693362e-01,4.183420499994310315e-01
2.031035910827845847e-01,1.189956316604925957e-01,3.105039609622061714e-01,5.085350201521124935e-01
2.250140138717103000e-01,1.061961119647250873e-01,2.802474426043796152e-01,5.560827939239982864e-01
2.594211222343523193e-01,9.240981543255200048e-02,2.367748594220375480e-01,5.728664699032027796e-01
3.131533316490806018e-01,8.023079930779236646e-02,1.831679999006133042e-01,5.650101541466575616e-01
3.927917889956328845e-01,7.049867127980928572e-02,1.229421990722209673e-01,5.330647753742607797e-01
5.002687284492673969e-01,6.333435821232411000e-02,6.597642475975429299e-02,4.760372385606256307e-01
6.228283143108722664e-01,5.861153468589592325e-02,2.600372761364756757e-02,3.983609708604736732e-01
7.329354845206909053e-01,5.619331343313035965e-02,7.315745918826701590e-03,3.142893786802362643e-01
8.105855876977334784e-01,5.599376455949504200e-02,1.560856827170084386e-03,2.398550636421611371e-01
8.563422318414505297e-01,5.791357706914736919e-02,2.796446568032175074e-04,1.821380484033449376e-01
8.801462351701114795e-01,6.183953564777810302e-02,4.580100779875603665e-05,1.400152711485396495e-01
8.905924114774264044e-01,6.770662050649892127e-02,7.238472405236838863e-06,1.097061442188285163e-01
8.927895346471655946e-01,7.553104344573134676e-02,1.139275494346748271e-06,8.774086782283731234e-02
8.893865521653108175e-01,8.540666843215286019e-02,1.821031353595902481e-07,7.160250458050582134e-02
8.816696962271157734e-01,9.748722798656149491e-02,2.995648042329870793e-08,5.958755464079542458e-02
8.702193992964092351e-01,1.119657107555988296e-01,5.213800125505682770e-09,5.055814538067846670e-02
8.552567567988020869e-01,1.290528432588748387e-01,9.361840227459026473e-10,4.374915247342080898e-02
8.368268973580819114e-01,1.489534693143648170e-01,2.154294858816463001e-10,3.864096295530437819e-02
8.149051367251251010e-01,1.718393640618321172e-01,2.115801445789997913e-11,3.487970176584821724e-02
7.894677852557202558e-01,1.978177791445782374e-01,-3.827377150164275813e-11,3.222824068959506683e-02
7.605468198879445918e-01,2.268962536892339121e-01,1.198240822909797511e-10,3.053688997117320197e-02
7.282754525115009425e-01,2.589456362128267353e-01,-1.563349149489787679e-11,2.972717179663819653e-02
6.929253934338210907e-01,2.936646540233289193e-01,-1.605534883297552680e-11,2.978504849690247550e-02
6.549331418213679701e-01,3.305502780710724564e-01,7.111268017652486300e-11,3.076180619675935451e-02
6.149114475335326624e-01,3.688781269050626088e-01,-4.069488019837957588e-11,3.278201710067229352e-02
5.736430137265569051e-01,4.076957070036139608e-01,8.399268690314525962e-11,3.605838393187497243e-02
